combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
43,0.6064307152833497,0.5996671817425413,0.1,0.01,3,100,10
44,0.6064307152833497,0.5996671817425413,0.1,0.01,3,100,50
45,0.6064307152833497,0.5996671817425413,0.1,0.01,3,100,100
46,0.6088377759947698,0.6022821823368596,0.1,0.01,5,1,10
47,0.6092538111794598,0.6018067276833472,0.1,0.01,5,1,50
48,0.6124335086624468,0.6041840009509093,0.1,0.01,5,1,100
49,0.6069061840658524,0.5996671817425413,0.1,0.01,5,10,10
50,0.6071736352560102,0.6001426363960537,0.1,0.01,5,10,50
51,0.6091943775816469,0.6014501366932129,0.1,0.01,5,10,100
52,0.6064307152833497,0.5996671817425413,0.1,0.01,5,100,10
53,0.6064307152833497,0.5996671817425413,0.1,0.01,5,100,50
54,0.6064307152833497,0.5996671817425413,0.1,0.01,5,100,100
55,0.6108585183204065,0.6032330916438845,0.1,0.01,8,1,10
56,0.6126712430536982,0.6026387733269939,0.1,0.01,8,1,50
57,0.6165047101126266,0.6067990015452276,0.1,0.01,8,1,100
58,0.6073519360494487,0.6000237727326756,0.1,0.01,8,10,10
59,0.607649104038513,0.6002615000594318,0.1,0.01,8,10,50
60,0.6099670143532139,0.6019255913467253,0.1,0.01,8,10,100
61,0.6064307152833497,0.5996671817425413,0.1,0.01,8,100,10
62,0.6064307152833497,0.5996671817425413,0.1,0.01,8,100,50
63,0.6064307152833497,0.5996671817425413,0.1,0.01,8,100,100
64,0.6114825710974414,0.6034708189706407,0.1,0.01,10,1,10
65,0.6139787822055808,0.6033519553072626,0.1,0.01,10,1,50
66,0.6182580012481056,0.6067990015452276,0.1,0.01,10,1,100
67,0.6073519360494487,0.6000237727326756,0.1,0.01,10,10,10
68,0.607649104038513,0.6003803637228099,0.1,0.01,10,10,50
69,0.6100264479510267,0.6019255913467253,0.1,0.01,10,10,100
70,0.6064307152833497,0.5996671817425413,0.1,0.01,10,100,10
71,0.6064307152833497,0.5996671817425413,0.1,0.01,10,100,50
72,0.6064307152833497,0.5996671817425413,0.1,0.01,10,100,100
73,0.6105613503313423,0.603827409960775,0.1,0.1,3,1,10
74,0.6726397432468575,0.6657553785807678,0.1,0.1,3,1,50
75,0.7141243945202222,0.7058124331391894,0.1,0.1,3,1,100
76,0.6088080591958634,0.6008558183763224,0.1,0.1,3,10,10
77,0.6705298505245015,0.6634969689765838,0.1,0.1,3,10,50
78,0.7107366794448902,0.703197432544871,0.1,0.1,3,10,100
79,0.6064307152833497,0.5996671817425413,0.1,0.1,3,100,10
80,0.6514219488276722,0.6461428741233805,0.1,0.1,3,100,50
81,0.6938278208671362,0.6865565196719363,0.1,0.1,3,100,100
82,0.614840569373867,0.6075121835254963,0.1,0.1,5,1,10
83,0.6867552227274079,0.6739569713538571,0.1,0.1,5,1,50
84,0.7321030578586075,0.7096160703672887,0.1,0.1,5,1,100
85,0.612938694243856,0.6056103649114466,0.1,0.1,5,10,10
86,0.6802769605658079,0.6714608344229169,0.1,0.1,5,10,50
87,0.7216724614424535,0.7064067514560799,0.1,0.1,5,10,100
88,0.6064604320822561,0.5996671817425413,0.1,0.1,5,100,10
89,0.6540370271314374,0.6480446927374302,0.1,0.1,5,100,50
90,0.6967103503610591,0.6895281112563889,0.1,0.1,5,100,100
91,0.6179905500579478,0.6084630928325211,0.1,0.1,8,1,10
92,0.7019405069685893,0.6774040175918222,0.1,0.1,8,1,50
93,0.7610175031945559,0.7097349340306668,0.1,0.1,8,1,100
94,0.6132358622329203,0.606085819564959,0.1,0.1,8,10,10
95,0.6838429764345785,0.6736003803637228,0.1,0.1,8,10,50
96,0.7258922468871654,0.708784024723642,0.1,0.1,8,10,100
97,0.6064604320822561,0.5996671817425413,0.1,0.1,8,100,10
98,0.6543341951205016,0.6480446927374302,0.1,0.1,8,100,50
99,0.696561766366527,0.6897658385831451,0.1,0.1,8,100,100
100,0.6193575228076431,0.6089385474860335,0.1,0.1,10,1,10
101,0.7126385545749012,0.6762153809580411,0.1,0.1,10,1,50
102,0.7823541648093667,0.7097349340306668,0.1,0.1,10,1,100
103,0.613354729428546,0.6062046832283371,0.1,0.1,10,10,10
104,0.6841104276247363,0.6740758350172352,0.1,0.1,10,10,50
105,0.726219131675136,0.7080708427433734,0.1,0.1,10,10,100
106,0.6064604320822561,0.5996671817425413,0.1,0.1,10,100,10
107,0.6543341951205016,0.6480446927374302,0.1,0.1,10,100,50
108,0.696561766366527,0.689646974919767,0.1,0.1,10,100,100
109,0.6902618049983655,0.6822774277903245,0.1,1.0,3,1,10
110,0.7825027488038988,0.7606085819564959,0.1,1.0,3,1,50
111,0.8019375352886987,0.7715440389872816,0.1,1.0,3,1,100
112,0.6883302130694482,0.6822774277903245,0.1,1.0,3,10,10
113,0.7748655314849484,0.7589444906692024,0.1,1.0,3,10,50
114,0.7902291165195685,0.7689290383929632,0.1,1.0,3,10,100
115,0.672045407268729,0.664804469273743,0.1,1.0,3,100,10
116,0.7517755787346587,0.748246760965173,0.1,1.0,3,100,50
117,0.760185432825176,0.7553785807678592,0.1,1.0,3,100,100
118,0.7043772844789159,0.6840603827409961,0.1,1.0,5,1,10
119,0.8146563252206472,0.7547842624509687,0.1,1.0,5,1,50
120,0.8562895604885442,0.7590633543325805,0.1,1.0,5,1,100
121,0.6953730944102702,0.6852490193747771,0.1,1.0,5,10,10
122,0.7872871534278327,0.7578747176987994,0.1,1.0,5,10,50
123,0.8066327895159133,0.7648876738381077,0.1,1.0,5,10,100
124,0.6731152120293602,0.6669440152145489,0.1,1.0,5,100,10
125,0.7545392410329559,0.7477713063116606,0.1,1.0,5,100,50
126,0.7623547591453449,0.755140853441103,0.1,1.0,5,100,100
127,0.7324299426465781,0.6802567455128967,0.1,1.0,8,1,10
128,0.8845502362485513,0.7412338048258648,0.1,1.0,8,1,50
129,0.9359900151555675,0.7456317603708547,0.1,1.0,8,1,100
130,0.6999494814418591,0.6845358373945085,0.1,1.0,8,10,10
131,0.7979554842352382,0.7588256270058243,0.1,1.0,8,10,50
132,0.8211345873822472,0.7636990372043266,0.1,1.0,8,10,100
133,0.6739769991976464,0.6668251515511708,0.1,1.0,8,100,10
134,0.7535883034679505,0.7475335789849044,0.1,1.0,8,100,50
135,0.761938723960655,0.7549031261143468,0.1,1.0,8,100,100
136,0.7589373272711064,0.6756210626411506,0.1,1.0,10,1,10
137,0.9249056491634721,0.7345774396766909,0.1,1.0,10,1,50
138,0.9682030251701287,0.745037442053964,0.1,1.0,10,1,100
139,0.7005141006210811,0.6826340187804588,0.1,1.0,10,10,10
140,0.7998573593652492,0.7568049447283965,0.1,1.0,10,10,50
141,0.825562390419304,0.7615594912635207,0.1,1.0,10,10,100
142,0.6739769991976464,0.6668251515511708,0.1,1.0,10,100,10
143,0.7539746218537339,0.7477713063116606,0.1,1.0,10,100,50
144,0.7612552375858073,0.7546653987875906,0.1,1.0,10,100,100
145,0.659920953314909,0.6554142398668727,0.3,0.001,3,1,10
146,0.6556417342723841,0.6507785569951265,0.3,0.001,3,1,50
147,0.6550473982942557,0.6498276476881018,0.3,0.001,3,1,100
148,0.6605152892930374,0.6555331035302508,0.3,0.001,3,10,10
149,0.6548393807019108,0.6495899203613456,0.3,0.001,3,10,50
150,0.6537695759412796,0.6492333293712113,0.3,0.001,3,10,100
151,0.6497875248878191,0.6442410555093308,0.3,0.001,3,100,10
152,0.6477073489643695,0.6406751456079877,0.3,0.001,3,100,50
153,0.6473507473774925,0.6415071912516344,0.3,0.001,3,100,100
154,0.6789694214139252,0.6719362890764293,0.3,0.001,5,1,10
155,0.6772755638762592,0.6711042434327826,0.3,0.001,5,1,50
156,0.6785831030281418,0.671579698086295,0.3,0.001,5,1,100
157,0.6757600071320318,0.6699156067990015,0.3,0.001,5,10,10
158,0.6723128584588868,0.668251515511708,0.3,0.001,5,10,50
159,0.6736203976107694,0.669321288482111,0.3,0.001,5,10,100
160,0.6563252206472319,0.6505408296683703,0.3,0.001,5,100,10
161,0.6537101423434668,0.647806965410674,0.3,0.001,5,100,50
162,0.6543341951205016,0.647925829074052,0.3,0.001,5,100,100
163,0.7019107901696829,0.6822774277903245,0.3,0.001,8,1,10
164,0.7055065228373599,0.6837037917508617,0.3,0.001,8,1,50
165,0.7078541499509673,0.6847735647212647,0.3,0.001,8,1,100
166,0.6852099491842739,0.676096517294663,0.3,0.001,8,10,10
167,0.6861311699503729,0.6762153809580411,0.3,0.001,8,10,50
168,0.6886273810585124,0.6770474266016878,0.3,0.001,8,10,100
169,0.657603043000208,0.6529181029359324,0.3,0.001,8,100,10
