combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
408,0.9237169772072152,0.7673838107690479,0.5,1.0,5,1,100
409,0.7811654928531099,0.7669083561155354,0.5,1.0,5,10,10
410,0.828444919913227,0.7751099488886247,0.5,1.0,5,10,50
411,0.8578348340316782,0.7738024485914656,0.5,1.0,5,10,100
412,0.7647321030578587,0.7579935813621775,0.5,1.0,5,100,10
413,0.7788178657395025,0.7727326756210626,0.5,1.0,5,100,50
414,0.7788178657395025,0.7727326756210626,0.5,1.0,5,100,100
415,0.8615197170960744,0.7626292642339237,0.5,1.0,8,1,10
416,0.9865085732964844,0.7587067633424462,0.5,1.0,8,1,50
417,0.9998216992065615,0.7595388089860929,0.5,1.0,8,1,100
418,0.8055332679563757,0.7648876738381077,0.5,1.0,8,10,10
419,0.8875516329380999,0.7701176750267443,0.5,1.0,8,10,50
420,0.9244301803809694,0.7689290383929632,0.5,1.0,8,10,100
421,0.76496983744911,0.7564483537382622,0.5,1.0,8,100,10
422,0.7820867136192089,0.7711874479971472,0.5,1.0,8,100,50
423,0.7820867136192089,0.7711874479971472,0.5,1.0,8,100,100
424,0.9204481293275089,0.7501485795792227,0.5,1.0,10,1,10
425,0.9997028320109358,0.7589444906692024,0.5,1.0,10,1,50
426,0.9999702832010936,0.7587067633424462,0.5,1.0,10,1,100
427,0.8182223410894178,0.7627481278973018,0.5,1.0,10,10,10
428,0.9101958337047933,0.7656008558183763,0.5,1.0,10,10,50
429,0.941309322159817,0.764174491857839,0.5,1.0,10,10,100
430,0.7667231285845889,0.7553785807678592,0.5,1.0,10,100,10
431,0.7831862351787465,0.7707119933436348,0.5,1.0,10,100,50
432,0.7831862351787465,0.7707119933436348,0.5,1.0,10,100,100
433,0.7158182520578883,0.7130631166052538,0.7,0.001,3,1,10
434,0.7132031737541232,0.7113990253179603,0.7,0.001,3,1,50
435,0.7162045704436718,0.7172233448234875,0.7,0.001,3,1,100
436,0.7128762889661525,0.7084274337335077,0.7,0.001,3,10,10
437,0.7108555466405159,0.7084274337335077,0.7,0.001,3,10,50
438,0.7156696680633562,0.7143706169024129,0.7,0.001,3,10,100
439,0.6967995007577784,0.6939260668013788,0.7,0.001,3,100,10
440,0.70509048765267,0.703197432544871,0.7,0.001,3,100,50
441,0.7063980268045527,0.7035540235350054,0.7,0.001,3,100,100
442,0.7527562330985706,0.7432544871032926,0.7,0.001,5,1,10
443,0.7519538795280972,0.7424224414596458,0.7,0.001,5,1,50
444,0.7519538795280972,0.7415903958159991,0.7,0.001,5,1,100
445,0.745237882975246,0.7355283489837157,0.7,0.001,5,10,10
446,0.7479718284746367,0.7407583501723524,0.7,0.001,5,10,50
447,0.748417580458233,0.7411149411624867,0.7,0.001,5,10,100
448,0.7266351668598259,0.7216213003684774,0.7,0.001,5,100,10
449,0.7292205283646845,0.7243551646261738,0.7,0.001,5,100,50
450,0.7294879795548423,0.7257815285867111,0.7,0.001,5,100,100
451,0.7931413628123979,0.7651254011648639,0.7,0.001,8,1,10
452,0.7923687260408309,0.7651254011648639,0.7,0.001,8,1,50
453,0.7940031499806841,0.7663140377986449,0.7,0.001,8,1,100
454,0.7743603459035393,0.7565672174016403,0.7,0.001,8,10,10
455,0.7775994769843393,0.7578747176987994,0.7,0.001,8,10,50
456,0.7787287153427833,0.7588256270058243,0.7,0.001,8,10,100
457,0.7360553921131616,0.7281588018542732,0.7,0.001,8,100,10
458,0.7390865056016166,0.7318435754189944,0.7,0.001,8,100,50
459,0.7392053727972423,0.7325567573992631,0.7,0.001,8,100,100
460,0.8239576832783573,0.7658385831451325,0.7,0.001,10,1,10
461,0.8248789040444563,0.7679781290859384,0.7,0.001,10,1,50
462,0.8255326736203976,0.7680969927493165,0.7,0.001,10,1,100
463,0.7828593503907759,0.7582313086889338,0.7,0.001,10,10,10
464,0.7852069775043832,0.7598953999762272,0.7,0.001,10,10,50
465,0.7854149950967282,0.7613217639367645,0.7,0.001,10,10,100
466,0.7369171792814478,0.7294663021514323,0.7,0.001,10,100,10
467,0.7399780095688092,0.7318435754189944,0.7,0.001,10,100,50
468,0.7399780095688092,0.7331510757161536,0.7,0.001,10,100,100
469,0.7162045704436718,0.71330084393201,0.7,0.01,3,1,10
470,0.7178984279813378,0.7161535718530845,0.7,0.01,3,1,50
471,0.725595078898101,0.7241174372994176,0.7,0.01,3,1,100
472,0.7140649609224095,0.7116367526447165,0.7,0.01,3,10,10
473,0.7160559864491397,0.7150837988826816,0.7,0.01,3,10,50
474,0.7253870613057561,0.7237608463092833,0.7,0.01,3,10,100
475,0.6965914831654334,0.6936883394746226,0.7,0.01,3,100,10
476,0.7097560250809782,0.7066444787828361,0.7,0.01,3,100,50
477,0.7174823927966479,0.7142517532390348,0.7,0.01,3,100,100
478,0.7495765356155835,0.7388565315583027,0.7,0.01,5,1,10
479,0.7528751002941964,0.7432544871032926,0.7,0.01,5,1,50
480,0.7599179816350182,0.7503863069059789,0.7,0.01,5,1,100
481,0.7466940061216606,0.7374301675977654,0.7,0.01,5,10,10
482,0.7508246411696532,0.7428978961131583,0.7,0.01,5,10,50
483,0.7574514873257853,0.7489599429454415,0.7,0.01,5,10,100
484,0.7271997860390479,0.7232853916557709,0.7,0.01,5,100,10
485,0.7318356066684497,0.7276833472007608,0.7,0.01,5,100,50
486,0.7367388784880092,0.7327944847260193,0.7,0.01,5,100,100
487,0.792101274850673,0.7631047188874361,0.7,0.01,8,1,10
488,0.7992333065882143,0.7653631284916201,0.7,0.01,8,1,50
489,0.8048497815815281,0.76976108403661,0.7,0.01,8,1,100
490,0.7753707170663576,0.7568049447283965,0.7,0.01,8,10,10
491,0.7802739888859173,0.7610840366100083,0.7,0.01,8,10,50
492,0.7854149950967282,0.7640556281944609,0.7,0.01,8,10,100
493,0.7373034976672312,0.730179484131701,0.7,0.01,8,100,10
494,0.7430982734539835,0.73588493997385,0.7,0.01,8,100,50
495,0.7472289085019762,0.7406394865089742,0.7,0.01,8,100,100
496,0.8248194704466435,0.7658385831451325,0.7,0.01,10,1,10
497,0.8335264925262251,0.7702365386901224,0.7,0.01,10,1,50
498,0.8418769130189296,0.7711874479971472,0.7,0.01,10,1,100
499,0.7838697215535942,0.7581124450255556,0.7,0.01,10,10,10
500,0.7885352589819025,0.7639367645310828,0.7,0.01,10,10,50
501,0.7935573979970878,0.7663140377986449,0.7,0.01,10,10,100
502,0.7380761344387983,0.7305360751218353,0.7,0.01,10,100,10
503,0.7441383614157083,0.7367169856174968,0.7,0.01,10,100,50
504,0.7483284300615137,0.741471532152621,0.7,0.01,10,100,100
505,0.7232771685834002,0.722334482348746,0.7,0.1,3,1,10
506,0.7606906184065853,0.7553785807678592,0.7,0.1,3,1,50
507,0.7779857953701227,0.7710685843337691,0.7,0.1,3,1,100
508,0.723336602181213,0.7216213003684774,0.7,0.1,3,10,10
509,0.7601557160262696,0.7537144894805657,0.7,0.1,3,10,50
510,0.7754895842619833,0.7705931296802567,0.7,0.1,3,10,100
511,0.7172149416064901,0.7148460715559254,0.7,0.1,3,100,10
512,0.7491605004308936,0.7425413051230239,0.7,0.1,3,100,50
513,0.7651184214436421,0.7621538095804112,0.7,0.1,3,100,100
514,0.7599179816350182,0.7487222156186853,0.7,0.1,5,1,10
515,0.7897536477370658,0.7755854035421371,0.7,0.1,5,1,50
516,0.8057115687498143,0.7779626768096993,0.7,0.1,5,1,100
517,0.7567085673531248,0.7469392606680137,0.7,0.1,5,10,10
518,0.7857715966836052,0.7726138119576845,0.7,0.1,5,10,50
519,0.7954295563281923,0.7768929038392963,0.7,0.1,5,10,100
520,0.7343615345754956,0.7280399381908951,0.7,0.1,5,100,10
521,0.76455380226442,0.7559728990847497,0.7,0.1,5,100,50
522,0.7772725921963686,0.7679781290859384,0.7,0.1,5,100,100
523,0.8046417639891831,0.7660763104718887,0.7,0.1,8,1,10
524,0.8417283290243975,0.774277903244978,0.7,0.1,8,1,50
525,0.8757837805711569,0.7779626768096993,0.7,0.1,8,1,100
526,0.7838994383525006,0.7631047188874361,0.7,0.1,8,10,10
527,0.803928560815429,0.7759419945322715,0.7,0.1,8,10,50
528,0.8207185521975573,0.7784381314632117,0.7,0.1,8,10,100
529,0.744049211018989,0.7367169856174968,0.7,0.1,8,100,10
530,0.7706160292413301,0.7594199453227148,0.7,0.1,8,100,50
531,0.781878696026864,0.7719006299774159,0.7,0.1,8,100,100
532,0.8403019226768892,0.7690479020563413,0.7,0.1,10,1,10
533,0.8949213990668925,0.7735647212647094,0.7,0.1,10,1,50
534,0.9338504056343051,0.7714251753239035,0.7,0.1,10,1,100
535,0.7909126028944162,0.7636990372043266,0.7,0.1,10,10,10
536,0.814923776410805,0.7759419945322715,0.7,0.1,10,10,50
537,0.8377462779709369,0.7802210864138833,0.7,0.1,10,10,100
538,0.7449704317850881,0.736954712944253,0.7,0.1,10,100,10
539,0.7721910195833704,0.7601331273029834,0.7,0.1,10,100,50
540,0.7830970847820273,0.7703554023535005,0.7,0.1,10,100,100
541,0.7764702386258953,0.7669083561155354,0.7,1.0,3,1,10
542,0.8075540102820125,0.7793890407702365,0.7,1.0,3,1,50
543,0.8285043535110398,0.7752288125520028,0.7,1.0,3,1,100
544,0.7764702386258953,0.770949720670391,0.7,1.0,3,10,10
545,0.7995007577783722,0.7770117675026744,0.7,1.0,3,10,50
546,0.8123086981070399,0.7783192677998336,0.7,1.0,3,10,100
547,0.7649104038512972,0.760727445619874,0.7,1.0,3,100,10
548,0.7741820451101007,0.766432901462023,0.7,1.0,3,100,50
549,0.7741820451101007,0.766432901462023,0.7,1.0,3,100,100
550,0.8011351817182253,0.772019493640794,0.7,1.0,5,1,10
551,0.8776856557011679,0.7714251753239035,0.7,1.0,5,1,50
552,0.933493804047428,0.7631047188874361,0.7,1.0,5,1,100
553,0.7910314700900419,0.7740401759182218,0.7,1.0,5,10,10
554,0.8368844908026507,0.7740401759182218,0.7,1.0,5,10,50
555,0.8674333600784524,0.7745156305717342,0.7,1.0,5,10,100
556,0.773914593919943,0.7665517651254011,0.7,1.0,5,100,10
557,0.7791150337285667,0.7702365386901224,0.7,1.0,5,100,50
558,0.7791150337285667,0.7702365386901224,0.7,1.0,5,100,100
559,0.8732875694630174,0.7676215380958041,0.7,1.0,8,1,10
560,0.9936406050340257,0.7615594912635207,0.7,1.0,8,1,50
561,0.9999702832010936,0.759657672649471,0.7,1.0,8,1,100
562,0.8168553683397225,0.7734458576013312,0.7,1.0,8,10,10
563,0.9002109892722356,0.7680969927493165,0.7,1.0,8,10,50
564,0.9362871831446317,0.764174491857839,0.7,1.0,8,10,100
565,0.7762622210335502,0.7647688101747295,0.7,1.0,8,100,10
566,0.7846720751240677,0.7734458576013312,0.7,1.0,8,100,50
567,0.7846720751240677,0.7734458576013312,0.7,1.0,8,100,100
568,0.9341772904222757,0.7588256270058243,0.7,1.0,10,1,10
569,0.9999702832010936,0.7590633543325805,0.7,1.0,10,1,50
570,0.9999702832010936,0.7587067633424462,0.7,1.0,10,1,100
571,0.8328430061513774,0.76976108403661,0.7,1.0,10,10,10
572,0.9253514011470685,0.7665517651254011,0.7,1.0,10,10,50
573,0.9560488544174022,0.7634613098775704,0.7,1.0,10,10,100
574,0.7786989985438768,0.7665517651254011,0.7,1.0,10,100,10
575,0.7852069775043832,0.7721383573041721,0.7,1.0,10,100,50
576,0.7852069775043832,0.7721383573041721,0.7,1.0,10,100,100
577,0.7107663962437967,0.7053369784856769,0.9,0.001,3,1,10
578,0.7131734569552168,0.7072387970997266,0.9,0.001,3,1,50
579,0.7128465721672461,0.708784024723642,0.9,0.001,3,1,100
580,0.7116876170098957,0.7061690241293237,0.9,0.001,3,10,10
581,0.7149564648896021,0.7102103886841793,0.9,0.001,3,10,50
582,0.7157291016611691,0.7127065256151195,0.9,0.001,3,10,100
583,0.7013758877893673,0.6982051586829906,0.9,0.001,3,100,10
584,0.703961249294226,0.7005824319505527,0.9,0.001,3,100,50
585,0.704525868473448,0.7010578866040651,0.9,0.001,3,100,100
586,0.7536180202668569,0.7432544871032926,0.9,0.001,5,1,10
587,0.7543015066417046,0.7487222156186853,0.9,0.001,5,1,50
588,0.7551038602121779,0.7481278973017949,0.9,0.001,5,1,100
589,0.7489524828385486,0.7420658504695115,0.9,0.001,5,10,10
590,0.7506760571751211,0.7439676690835612,0.9,0.001,5,10,50
591,0.7515972779412202,0.7444431237370736,0.9,0.001,5,10,100
592,0.7344804017711212,0.7276833472007608,0.9,0.001,5,100,10
593,0.7392053727972423,0.7304172114584572,0.9,0.001,5,100,50
594,0.7304092003209415,0.7238797099726614,0.9,0.001,5,100,100
595,0.7952215387358473,0.7631047188874361,0.9,0.001,8,1,10
596,0.7950729547413152,0.7680969927493165,0.9,0.001,8,1,50
597,0.7950432379424088,0.7658385831451325,0.9,0.001,8,1,100
598,0.7795013521143502,0.7568049447283965,0.9,0.001,8,10,10
599,0.7810169088585778,0.7582313086889338,0.9,0.001,8,10,50
600,0.7822947312115539,0.7606085819564959,0.9,0.001,8,10,100
601,0.7497548364090221,0.7402828955188399,0.9,0.001,8,100,10
602,0.7549849930165523,0.7468203970046356,0.9,0.001,8,100,50
603,0.747496359692134,0.7394508498751932,0.9,0.001,8,100,100
604,0.8272562479569701,0.7648876738381077,0.9,0.001,10,1,10
605,0.826335027190871,0.7684535837394508,0.9,0.001,10,1,50
606,0.8279397343318178,0.7685724474028289,0.9,0.001,10,1,100
607,0.7895159133458144,0.7593010816593367,0.9,0.001,10,10,10
608,0.7910909036878547,0.7635801735409485,0.9,0.001,10,10,50
609,0.7915069388725446,0.7627481278973018,0.9,0.001,10,10,100
610,0.7507652075718404,0.7407583501723524,0.9,0.001,10,100,10
611,0.7559953641793706,0.7469392606680137,0.9,0.001,10,100,50
612,0.7547472586253009,0.7455128967074766,0.9,0.001,10,100,100
613,0.7149267480906957,0.7090217520503982,0.9,0.01,3,1,10
614,0.7188493655463434,0.7168667538333532,0.9,0.01,3,1,50
615,0.7250601765177855,0.7226910733388803,0.9,0.01,3,1,100
616,0.7185819143561856,0.7148460715559254,0.9,0.01,3,10,10
617,0.7185521975572792,0.7159158445263283,0.9,0.01,3,10,50
618,0.7237229205669965,0.721145845714965,0.9,0.01,3,10,100
619,0.702475409348905,0.6976108403661001,0.9,0.01,3,100,10
620,0.7085079195269086,0.7079519790799953,0.9,0.01,3,100,50
621,0.7157885352589819,0.7149649352193035,0.9,0.01,3,100,100
622,0.7530236842887285,0.7442053964103174,0.9,0.01,5,1,10
623,0.7561142313749963,0.745988351360989,0.9,0.01,5,1,50
624,0.7650589878458293,0.7537144894805657,0.9,0.01,5,1,100
625,0.7502600219904312,0.7420658504695115,0.9,0.01,5,10,10
626,0.7520727467237229,0.7440865327469393,0.9,0.01,5,10,50
627,0.7612849543847137,0.7524069891834066,0.9,0.01,5,10,100
628,0.7283884579953047,0.7230476643290146,0.9,0.01,5,100,10
629,0.73664972809129,0.7287531201711637,0.9,0.01,5,100,50
630,0.7407209295414698,0.7348151670034471,0.9,0.01,5,100,100
631,0.7942408843719354,0.7642933555212171,0.9,0.01,8,1,10
632,0.8015809337018216,0.7679781290859384,0.9,0.01,8,1,50
633,0.8059493031410656,0.7692856293830976,0.9,0.01,8,1,100
634,0.7800065376957594,0.7591822179959586,0.9,0.01,8,10,10
635,0.7848206591185998,0.7651254011648639,0.9,0.01,8,10,50
636,0.789278178954563,0.7684535837394508,0.9,0.01,8,10,100
637,0.7464859885293156,0.7380244859146559,0.9,0.01,8,100,10
638,0.7498439868057413,0.74277903244978,0.9,0.01,8,100,50
639,0.7534694362723248,0.7439676690835612,0.9,0.01,8,100,100
640,0.8260675760007132,0.766432901462023,0.9,0.01,10,1,10
641,0.8335264925262251,0.7690479020563413,0.9,0.01,10,1,50
642,0.8424118153992451,0.7715440389872816,0.9,0.01,10,1,100
643,0.7911503372856676,0.7616783549268988,0.9,0.01,10,10,10
644,0.7949540875456895,0.7663140377986449,0.9,0.01,10,10,50
645,0.7992927401860271,0.7679781290859384,0.9,0.01,10,10,100
646,0.7517755787346587,0.7423035777962677,0.9,0.01,10,100,10
647,0.7514189771477816,0.7418281231427553,0.9,0.01,10,100,50
648,0.7556090457935871,0.7453940330440985,0.9,0.01,10,100,100
649,0.729042227571246,0.7274456198740045,0.9,0.1,3,1,10
650,0.7617009895694036,0.7570426720551527,0.9,0.1,3,1,50
651,0.7784612641526255,0.7727326756210626,0.9,0.1,3,1,100
652,0.7282398740007726,0.7262569832402235,0.9,0.1,3,10,10
653,0.7618198567650293,0.7577558540354213,0.9,0.1,3,10,50
654,0.7766188226204274,0.7710685843337691,0.9,0.1,3,10,100
655,0.7160857032480461,0.7147272078925473,0.9,0.1,3,100,10
656,0.7524590651095064,0.74717698799477,0.9,0.1,3,100,50
657,0.7663962437966182,0.7640556281944609,0.9,0.1,3,100,100
658,0.7636622982972274,0.7509806252228693,0.9,0.1,5,1,10
659,0.7905857181064456,0.7752288125520028,0.9,0.1,5,1,50
660,0.8066327895159133,0.7774872221561868,0.9,0.1,5,1,100
661,0.7604231672164274,0.7490788066088196,0.9,0.1,5,10,10
662,0.7862767822650144,0.7748722215618685,0.9,0.1,5,10,50
663,0.7970342634691391,0.7758231308688934,0.9,0.1,5,10,100
664,0.7411963983239725,0.7344585760133128,0.9,0.1,5,100,10
665,0.7671094469703723,0.7610840366100083,0.9,0.1,5,100,50
666,0.7784018305548126,0.770949720670391,0.9,0.1,5,100,100
667,0.8035422424296454,0.7678592654225603,0.9,0.1,8,1,10
668,0.8406882410626727,0.7782004041364555,0.9,0.1,8,1,50
669,0.8783097084782028,0.7768929038392963,0.9,0.1,8,1,100
670,0.7873168702267391,0.7669083561155354,0.9,0.1,8,10,10
671,0.8064842055213812,0.7780815404730774,0.9,0.1,8,10,50
672,0.824997771240082,0.7795079044336146,0.9,0.1,8,10,100
673,0.752221330718255,0.7457506240342328,0.9,0.1,8,100,10
674,0.7735579923330659,0.765244264828242,0.9,0.1,8,100,50
675,0.7839588719503136,0.7733269939379531,0.9,0.1,8,100,100
676,0.8399453210900122,0.7684535837394508,0.9,0.1,10,1,10
677,0.8970907253870614,0.7739213122548437,0.9,0.1,10,1,50
678,0.9383079254702683,0.7758231308688934,0.9,0.1,10,1,100
679,0.7973908650560162,0.7677404017591822,0.9,0.1,10,10,10
680,0.819143561855517,0.7760608581956496,0.9,0.1,10,10,50
681,0.845145760898636,0.7782004041364555,0.9,0.1,10,10,100
682,0.7527562330985706,0.7445619874004517,0.9,0.1,10,100,10
683,0.7769754242073044,0.7665517651254011,0.9,0.1,10,100,50
684,0.7849989599120383,0.7735647212647094,0.9,0.1,10,100,100
685,0.7790853169296603,0.7705931296802567,0.9,1.0,3,1,10
686,0.8090398502273335,0.7768929038392963,0.9,1.0,3,1,50
687,0.8321892365754361,0.7751099488886247,0.9,1.0,3,1,100
688,0.7756381682565154,0.7661951741352668,0.9,1.0,3,10,10
689,0.8005705625390033,0.7762985855224058,0.9,1.0,3,10,50
690,0.8148346260140857,0.7770117675026744,0.9,1.0,3,10,100
691,0.7637811654928531,0.7581124450255556,0.9,1.0,3,100,10
692,0.7747466642893227,0.768691311066207,0.9,1.0,3,100,50
693,0.7747466642893227,0.768691311066207,0.9,1.0,3,100,100
694,0.8003922617455648,0.7713063116605253,0.9,1.0,5,1,10
695,0.8848176874387091,0.766432901462023,0.9,1.0,5,1,50
696,0.9432706308876407,0.7622726732437893,0.9,1.0,5,1,100
697,0.7944786187631868,0.7722572209675502,0.9,1.0,5,10,10
698,0.8411934266440819,0.7682158564126946,0.9,1.0,5,10,50
699,0.873465870256456,0.7698799476999881,0.9,1.0,5,10,100
700,0.7751329826751062,0.7653631284916201,0.9,1.0,5,100,10
701,0.7806900240706072,0.7708308570070129,0.9,1.0,5,100,50
702,0.7806900240706072,0.7708308570070129,0.9,1.0,5,100,100
703,0.8740602062345844,0.770949720670391,0.9,1.0,8,1,10
704,0.9949184273870019,0.7631047188874361,0.9,1.0,8,1,50
705,0.9999702832010936,0.7612029002733864,0.9,1.0,8,1,100
706,0.822323259338504,0.7758231308688934,0.9,1.0,8,10,10
707,0.9137024159757511,0.7695233567098538,0.9,1.0,8,10,50
708,0.9454993908056224,0.7657197194817544,0.9,1.0,8,10,100
709,0.7827701999940566,0.7689290383929632,0.9,1.0,8,100,10
710,0.7866631006507979,0.7740401759182218,0.9,1.0,8,100,50
711,0.7866631006507979,0.7740401759182218,0.9,1.0,8,100,100
712,0.9361980327479124,0.7657197194817544,0.9,1.0,10,1,10
713,0.9999702832010936,0.7623915369071674,0.9,1.0,10,1,50
714,0.9999702832010936,0.7603708546297396,0.9,1.0,10,1,100
715,0.8419363466167424,0.7729704029478188,0.9,1.0,10,10,10
716,0.9391399958396481,0.7670272197789136,0.9,1.0,10,10,50
717,0.96237853258447,0.7660763104718887,0.9,1.0,10,10,100
718,0.7849692431131319,0.7701176750267443,0.9,1.0,10,100,10
719,0.7881786573950255,0.7735647212647094,0.9,1.0,10,100,50
720,0.7881786573950255,0.7735647212647094,0.9,1.0,10,100,100
